word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;;
noir;4;1172;28;12;32816;4688;;;
points;6;1171;45;18;52695;7026;;;
utiliser;8;1170;81;24;94770;9360;;;
celles;6;1168;56;18;65408;7008;;;
service;7;1166;59;21;68794;8162;;;
memes;5;1164;53;15;61692;5820;;;
uni;3;1162;26;9;30212;3486;;;
iles;4;1162;41;12;47642;4648;;;
situation;9;1161;74;27;85914;10449;;;
construction;12;1161;87;36;101007;13932;;;
petites;7;1159;60;21;69540;8113;;;
projet;6;1157;48;18;55536;6942;;;
gros;4;1156;31;12;35836;4624;;;
signifie;8;1151;70;24;80570;9208;;;
photo;5;1150;36;15;41400;5750;;;
henri;5;1147;40;15;45880;5735;;;
vite;4;1146;40;12;45840;4584;;;
action;6;1145;38;18;43510;6870;;;
displaystyle;12;1139;119;36;135541;13668;;;
gauche;6;1135;45;18;51075;6810;;;
blanc;5;1132;30;15;33960;5660;;;
catholique;10;1129;83;30;93707;11290;;;
russe;5;1125;44;15;49500;5625;;;
musee;5;1124;49;15;55076;5620;;;
facon;5;1123;25;15;28075;5615;;;
americain;9;1123;67;27;75241;10107;;;
club;4;1123;34;12;38182;4492;;;
compose;7;1117;52;21;58084;7819;;;
rencontre;9;1112;58;27;64496;10008;;;
production;10;1112;71;30;78952;11120;;;
date;4;1109;26;12;28834;4436;;;
rendre;6;1109;40;18;44360;6654;;;
conditions;10;1109;70;30;77630;11090;;;
decide;6;1109;42;18;46578;6654;;;
retour;6;1108;49;18;54292;6648;;;
choses;6;1106;45;18;49770;6636;;;
vivre;5;1105;50;15;55250;5525;;;
semaine;7;1101;56;21;61656;7707;;;
coupe;5;1099;34;15;37366;5495;;;
objets;6;1098;47;18;51606;6588;;;
fort;4;1096;31;12;33976;4384;;;
construit;9;1093;73;27;79789;9837;;;
cm;2;1092;20;6;21840;2184;;;
allemands;9;1091;75;27;81825;9819;;;
