word;Nb_char (C_w);Freq (F_w);Nb_scan (S_w);Nb_act;S_w x F_w;C_w x F_w;;;
super;5;1228;22;10;27016;6140;;;
sert;4;1227;16;8;19632;4908;;;
passer;6;1222;24;12;29328;7332;;;
naissance;9;1222;35;18;42770;10998;;;
pris;4;1221;18;8;21978;4884;;;
plein;5;1213;22;10;26686;6065;;;
politiques;10;1211;48;20;58128;12110;;;
droits;6;1207;29;12;35003;7242;;;
eleves;6;1205;24;12;28920;7230;;;
pape;4;1197;19;8;22743;4788;;;
xixe;4;1193;23;8;27439;4772;;;
simple;6;1192;27;12;32184;7152;;;
tant;4;1191;18;8;21438;4764;;;
asie;4;1186;14;8;16604;4744;;;
latin;5;1185;22;10;26070;5925;;;
surface;7;1185;33;14;39105;8295;;;
autriche;8;1184;40;16;47360;9472;;;
education;9;1183;43;18;50869;10647;;;
europeenne;10;1181;42;20;49602;11810;;;
nouveaux;8;1180;42;16;49560;9440;;;
philippe;8;1180;42;16;49560;9440;;;
regne;5;1180;22;10;25960;5900;;;
sens;4;1178;13;8;15314;4712;;;
noir;4;1172;19;8;22268;4688;;;
points;6;1171;28;12;32788;7026;;;
utiliser;8;1170;34;16;39780;9360;;;
celles;6;1168;25;12;29200;7008;;;
service;7;1166;31;14;36146;8162;;;
memes;5;1164;21;10;24444;5820;;;
uni;3;1162;13;6;15106;3486;;;
iles;4;1162;15;8;17430;4648;;;
situation;9;1161;40;18;46440;10449;;;
construction;12;1161;59;24;68499;13932;;;
petites;7;1159;29;14;33611;8113;;;
projet;6;1157;33;12;38181;6942;;;
gros;4;1156;21;8;24276;4624;;;
signifie;8;1151;36;16;41436;9208;;;
photo;5;1150;31;10;35650;5750;;;
henri;5;1147;24;10;27528;5735;;;
vite;4;1146;19;8;21774;4584;;;
action;6;1145;29;12;33205;6870;;;
displaystyle;12;1139;60;24;68340;13668;;;
gauche;6;1135;33;12;37455;6810;;;
blanc;5;1132;26;10;29432;5660;;;
catholique;10;1129;53;20;59837;11290;;;
russe;5;1125;19;10;21375;5625;;;
musee;5;1124;20;10;22480;5620;;;
facon;5;1123;27;10;30321;5615;;;
americain;9;1123;40;18;44920;10107;;;
club;4;1123;23;8;25829;4492;;;
compose;7;1117;36;14;40212;7819;;;
rencontre;9;1112;41;18;45592;10008;;;
production;10;1112;53;20;58936;11120;;;
date;4;1109;18;8;19962;4436;;;
rendre;6;1109;26;12;28834;6654;;;
conditions;10;1109;48;20;53232;11090;;;
decide;6;1109;28;12;31052;6654;;;
retour;6;1108;29;12;32132;6648;;;
choses;6;1106;29;12;32074;6636;;;
vivre;5;1105;26;10;28730;5525;;;
semaine;7;1101;27;14;29727;7707;;;
coupe;5;1099;26;10;28574;5495;;;
objets;6;1098;32;12;35136;6588;;;
fort;4;1096;23;8;25208;4384;;;
construit;9;1093;43;18;46999;9837;;;
cm;2;1092;12;4;13104;2184;;;
allemands;9;1091;40;18;43640;9819;;;
terme;5;1084;22;10;23848;5420;;;
pu;2;1084;11;4;11924;2168;;;
personnage;10;1078;45;20;48510;10780;;;
grec;4;1078;21;8;22638;4312;;;
culture;7;1078;34;14;36652;7546;;;
creation;8;1077;37;16;39849;8616;;;
main;4;1075;18;8;19350;4300;;;
appeles;7;1073;30;14;32190;7511;;;
voit;4;1067;22;8;23474;4268;;;
ancienne;8;1063;32;16;34016;8504;;;
genre;5;1063;22;10;23386;5315;;;
economique;10;1061;50;20;53050;10610;;;
romaine;7;1061;32;14;33952;7427;;;
aucun;5;1060;24;10;25440;5300;;;
forment;7;1060;36;14;38160;7420;;;
permettent;10;1057;45;20;47565;10570;;;
troupes;7;1056;33;14;34848;7392;;;
juste;5;1056;24;10;25344;5280;;;
zone;4;1055;22;8;23210;4220;;;
mise;4;1055;16;8;16880;4220;;;
printemps;9;1051;42;18;44142;9459;;;
vitesse;7;1050;28;14;29400;7350;;;
majorite;8;1047;41;16;42927;8376;;;
vue;3;1047;15;6;15705;3141;;;
desormais;9;1043;40;18;41720;9387;;;
six;3;1042;15;6;15630;3126;;;
elu;3;1041;13;6;13533;3123;;;
national;8;1040;36;16;37440;8320;;;
vraiment;8;1038;38;16;39444;8304;;;
pense;5;1036;19;10;19684;5180;;;
actuellement;12;1035;54;24;55890;12420;;;
difficile;9;1033;46;18;47518;9297;;;
climat;6;1033;30;12;30990;6198;;;
classe;6;1033;24;12;24792;6198;;;
feu;3;1032;15;6;15480;3096;;;
objet;5;1030;29;10;29870;5150;;;
idees;5;1030;19;10;19570;5150;;;
haute;5;1029;25;10;25725;5145;;;
lyon;4;1029;23;8;23667;4116;;;
