word,Nb_char (C_w),Freq (F_w),Nb_scan (S_w),Nb_act,S_w x F_w,C_w x F_w,,,
altitude ,9,806,37,18,29822,7254,,,
peuples ,8,806,28,16,22568,6448,,,
election ,9,805,31,18,24955,7245,,,
pattes ,7,805,27,14,21735,5635,,,
concours ,9,803,34,18,27302,7227,,,
puissance ,10,803,33,20,26499,8030,,,
match ,6,802,20,12,16040,4812,,,
particulierement ,17,802,60,34,48120,13634,,,
filles ,7,802,23,14,18446,5614,,,
voici ,6,800,23,12,18400,4800,,,
familles ,9,800,28,18,22400,7200,,,
bout ,5,800,24,10,19200,4000,,,
communes ,9,800,32,18,25600,7200,,,
jacques ,8,799,28,16,22372,6392,,,
humains ,8,799,32,16,25568,6392,,,
p ,2,797,8,4,6376,1594,,,
aucune ,7,796,29,14,23084,5572,,,
semaines ,9,794,31,18,24614,7146,,,
franco ,7,794,23,14,18262,5558,,,
avons ,6,793,27,12,21411,4758,,,
temple ,7,793,23,14,18239,5551,,,
derniers ,9,792,29,18,22968,7128,,,
internet ,9,792,35,18,27720,7128,,,
parc ,5,792,18,10,14256,3960,,,
fete ,5,791,21,10,16611,3955,,,
armes ,6,790,24,12,18960,4740,,,
mode ,5,789,14,10,11046,3945,,,
present ,8,788,34,16,26792,6304,,,
occasion ,9,788,31,18,24428,7092,,,
sport ,6,787,29,12,22823,4722,,,
endroit ,8,787,30,16,23610,6296,,,
rois ,5,787,22,10,17314,3935,,,
mariage ,8,785,25,16,19625,6280,,,
activite ,9,784,34,18,26656,7056,,,
electrique ,11,784,38,22,29792,8624,,,
activites ,10,783,39,20,30537,7830,,,
chretiens ,10,783,37,20,28971,7830,,,
manger ,7,780,24,14,18720,5460,,,
quel ,5,779,17,10,13243,3895,,,
discuter ,9,778,29,18,22562,7002,,,
voire ,6,777,23,12,17871,4662,,,
noire ,6,776,26,12,20176,4656,,,
realite ,8,776,34,16,26384,6208,,,
valeur ,7,775,27,14,20925,5425,,,
eme ,4,775,10,8,7750,3100,,,
province ,9,775,31,18,24025,6975,,,
comprend ,9,775,29,18,22475,6975,,,
directement ,12,774,37,24,28638,9288,,,
ecoles ,7,772,22,14,16984,5404,,,
americains ,11,771,39,22,30069,8481,,,
urss ,5,770,19,10,14630,3850,,,
creee ,6,770,24,12,18480,4620,,,
reseau ,7,770,29,14,22330,5390,,,
matiere ,8,769,30,16,23070,6152,,,
religieux ,10,769,38,20,29222,7690,,,
dynastie ,9,769,31,18,23839,6921,,,
association ,12,767,45,24,34515,9204,,,
types ,6,766,25,12,19150,4596,,,
autoroute ,10,766,44,20,33704,7660,,,
univers ,8,765,30,16,22950,6120,,,
lire ,5,765,15,10,11475,3825,,,
acces ,6,763,20,12,15260,4578,,,
chaine ,7,763,22,14,16786,5341,,,
chasse ,7,761,26,14,19786,5327,,,
montagnes ,10,761,36,20,27396,7610,,,
facilement ,11,760,33,22,25080,8360,,,
kilometres ,11,760,42,22,31920,8360,,,
minutes ,8,760,29,16,22040,6080,,,
village ,8,758,26,16,19708,6064,,,
questions ,10,757,38,20,28766,7570,,,
ta ,3,756,14,6,10584,2268,,,
programme ,10,756,32,20,24192,7560,,,
feuilles ,9,755,32,18,24160,6795,,,
etoiles ,8,754,29,16,21866,6032,,,
passage ,8,753,25,16,18825,6024,,,
chemin ,7,753,22,14,16566,5271,,,
salle ,6,751,21,12,15771,4506,,,
cathedrale ,11,749,45,22,33705,8239,,,
entree ,7,748,28,14,20944,5236,,,
mont ,5,748,21,10,15708,3740,,,
code ,5,748,14,10,10472,3740,,,
pression ,9,747,32,18,23904,6723,,,
principaux ,11,747,40,22,29880,8217,,,
masse ,6,746,22,12,16412,4476,,,
raconte ,8,744,33,16,24552,5952,,,
lieux ,6,744,20,12,14880,4464,,,
designe ,8,742,23,16,17066,5936,,,
sante ,6,742,24,12,17808,4452,,,
large ,6,742,19,12,14098,4452,,,
simplement ,11,741,38,22,28158,8151,,,
blanche ,8,740,26,16,19240,5920,,,
former ,7,740,27,14,19980,5180,,,
fleuve ,7,740,26,14,19240,5180,,,
wp ,3,740,20,6,14800,2220,,,
grecs ,6,739,23,12,16997,4434,,,
superficie ,11,738,39,22,28782,8118,,,
york ,5,737,24,10,17688,3685,,,
poste ,6,737,22,12,16214,4422,,,
manque ,7,736,24,14,17664,5152,,,
hauteur ,8,735,34,16,24990,5880,,,
japonais ,9,735,33,18,24255,6615,,,
fonctions ,10,734,40,20,29360,7340,,,
humain ,7,734,29,14,21286,5138,,,
inde ,5,734,19,10,13946,3670,,,
moyens ,7,734,27,14,19818,5138,,,
mesures ,8,734,28,16,20552,5872,,,
garde ,6,734,20,12,14680,4404,,,
suisse ,7,733,27,14,19791,5131,,,
quartier ,9,732,36,18,26352,6588,,,
importants ,11,732,45,22,32940,8052,,,
commerce ,9,732,28,18,20496,6588,,,
apparait ,9,732,36,18,26352,6588,,,
lutte ,6,732,22,12,16104,4392,,,
trouvent ,9,731,38,18,27778,6579,,,
samedi ,7,731,25,14,18275,5117,,,
importantes ,12,730,48,24,35040,8760,,,
montre ,7,729,25,14,18225,5103,,,
semble ,7,727,21,14,15267,5089,,,
puisque ,8,727,30,16,21810,5816,,,
construire ,11,727,41,22,29807,7997,,,
entier ,7,726,24,14,17424,5082,,,
belge ,6,726,21,12,15246,4356,,,
voie ,5,724,18,10,13032,3620,,,
atteint ,8,722,33,16,23826,5776,,,
train ,6,722,22,12,15884,4332,,,
chanson ,8,722,28,16,20216,5776,,,
communaute ,11,722,39,22,28158,7942,,,
xxe ,4,722,24,8,17328,2888,,,
continue ,9,721,33,18,23793,6489,,,
kg ,3,720,19,6,13680,2160,,,
